Task Name,Description,Priority,Status,Tags
"[S4] Write pillar article: 2-week AI MVP playbook","Target: non-technical founders. How SofGent ships AI MVPs in 2 weeks, with a real project timeline.",3,to do,"stage-4,content,seo"
"[S4] Write pillar article: Legacy data → AI-ready in 30 days","Target: enterprises / operations leads preparing data for AI adoption. Real architecture, 30-day plan.",3,to do,"stage-4,content,seo"
"[S4] Write flagship article: Why AI prototypes never reach production","Opinionated long-form. The piece that gets reshared on LinkedIn by CTOs. Link every service page to it.",3,to do,"stage-4,content"
"[S4] Publish gated case-study PDFs","Each case study → downloadable PDF behind email capture. Gets reshared inside prospect companies.",3,to do,"stage-4,content,conversion"
"[S4] Build comparison pages: SofGent vs Dev Shop, vs In-House AI Team","Mid-funnel conversion pages. Structured as side-by-side tables with honest pros/cons.",3,to do,"stage-4,content,conversion"
"[S4] Set up LinkedIn auto-reshare pipeline","Every new article → Buffer/Taplio schedule or manual weekly reshare. Drives traffic back to the site.",3,to do,"stage-4,distribution"
"[S4] Submit 2 guest posts to fintech/ops publications","Publications where your buyers already read (e.g. Fintech Today, Operations Leader, industry newsletters). Backlinks to `/case-studies` for SEO lift.",3,to do,"stage-4,distribution,seo"
"[S5] Record Loom explainer video for hero (15–30s)","'Hi, I'm Masud. Here's what SofGent builds.' Real face + voice above the fold lifts conversion 2–3×.",4,to do,"stage-5,design,content"
"[S5] Design 1-page capabilities PDF sales sheet","Polished PDF mirroring site branding. Attached to every cold email. Lists services, outcomes, pricing range, case-study teasers.",4,to do,"stage-5,sales,design"
"[S5] Update LinkedIn company cover + pinned post","Cover reinforces the site hero. Pinned post links to the flagship case study.",4,to do,"stage-5,distribution"
"[S5] Draft cold-email template library (founder/CTO/ops variants)","3 variants. Each ends linking a specific case study, not the homepage.",4,to do,"stage-5,sales"
"[S5] Build referral landing page for past clients","Shareable link with pitch + Calendly. One page past clients can forward to peers who need AI/SaaS help.",4,to do,"stage-5,conversion"
"[S5] Install Meta + LinkedIn retargeting pixels","Pixel on homepage → 3-ad retargeting sequence (case study → testimonial → last-call offer) for visitors who don't book.",4,to do,"stage-5,growth,analytics"
